point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
174,458912.8967071283,9249822.748268813,3,2025-05-18,2025-10-09,2025-10-21,138,282,294,0.341,0.036,0.305,156,144
175,461916.2046416754,9252864.012248186,1,2025-02-11,2025-03-19,2025-05-06,42,78,126,0.37,0.204,0.166,84,36
176,470783.236410018,9238157.300665405,1,2024-12-01,2025-02-23,2025-03-19,336,54,78,0.349,0.053,0.297,108,84
176,470783.236410018,9238157.300665405,2,2025-03-19,2025-06-11,2025-07-17,78,162,198,0.358,0.185,0.305,120,84
180,493964.25031187275,9237571.835175738,1,2024-12-13,2025-03-07,2025-03-31,348,66,90,0.222,-0.044,0.266,108,84
180,493964.25031187275,9237571.835175738,2,2025-03-31,2025-05-06,2025-05-30,90,126,150,0.135,-0.037,0.179,60,36
181,469100.24864441546,9246363.028682085,1,2025-03-19,2025-06-11,2025-07-29,78,162,210,0.381,0.171,0.211,132,84
182,461151.6703577532,9247005.44388692,1,2025-03-19,2025-03-31,2025-04-24,78,90,114,0.283,0.105,0.178,36,12
186,459025.5050659374,9242750.115730308,1,2024-12-13,2025-01-30,2025-03-07,348,30,66,0.398,0.214,0.184,84,48
187,462986.5038698831,9246227.200172417,1,2024-11-07,2024-11-19,2024-12-13,312,324,348,0.318,0.112,0.206,36,12
187,462986.5038698831,9246227.200172417,2,2024-12-13,2025-03-07,2025-05-06,348,66,126,0.326,0.161,0.214,144,84
189,481112.01633900113,9235239.82996633,1,2024-11-07,2024-11-07,2024-11-19,312,312,324,0.278,0.074,0.204,12,0
189,481112.01633900113,9235239.82996633,2,2024-11-19,2024-12-25,2025-01-18,324,360,18,0.405,0.225,0.331,60,36
189,481112.01633900113,9235239.82996633,3,2025-01-18,2025-02-11,2025-04-12,18,42,102,0.431,0.196,0.235,84,24
191,478772.3097444077,9230782.5750828,1,2024-11-07,2024-11-07,2024-12-01,312,312,336,0.161,0.008,0.153,24,0
191,478772.3097444077,9230782.5750828,2,2024-12-01,2025-03-19,2025-04-24,336,78,114,0.246,0.016,0.237,144,108
192,498105.13985283434,9242317.615048554,1,2024-11-07,2024-11-07,2024-12-01,312,312,336,0.428,0.132,0.295,24,0
192,498105.13985283434,9242317.615048554,2,2024-12-01,2024-12-25,2025-01-06,336,360,6,0.38,0.148,0.248,36,24
192,498105.13985283434,9242317.615048554,3,2025-01-06,2025-01-18,2025-03-07,6,18,66,0.417,0.135,0.282,60,12
