lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
1_Bekasi,clu4,32748,107.143594,-6.216803,2024-03-17,4,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.143593,-6.216351,2024-03-17,4,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.143591,-6.215899,2024-03-17,3,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.337501,-6.149094,2024-03-16,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.337499,-6.148642,2024-03-16,2,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324022,-6.405321,2024-03-19,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.337497,-6.14819,2024-03-16,2,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324019,-6.40487,2024-03-19,2,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.076644,-6.482746,2024-03-19,4,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.076641,-6.482294,2024-03-19,4,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.607657,-6.362473,2024-03-20,2,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.076638,-6.481842,2024-03-19,4,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.607655,-6.362021,2024-03-20,2,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.076635,-6.481391,2024-03-19,4,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.607652,-6.361569,2024-03-20,2,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.60765,-6.361117,2024-03-20,2,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.301416,-6.329152,2024-03-19,5,"Drone (combined survey, Java-clean)"
14_Jatimulya,clu4,32748,107.833097,-6.378904,2024-03-20,2,"Drone (combined survey, Java-clean)"
14_Jatimulya,clu4,32748,107.833094,-6.378452,2024-03-20,2,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.462648,-6.261959,2024-03-18,1,"Drone (combined survey, Java-clean)"
14_Jatimulya,clu4,32748,107.833092,-6.378,2024-03-20,2,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.462646,-6.261507,2024-03-18,1,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.303676,-6.329589,2024-03-19,5,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.462644,-6.261055,2024-03-18,1,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.303673,-6.329137,2024-03-19,5,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.462641,-6.260603,2024-03-18,1,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.30367,-6.328686,2024-03-19,5,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.303667,-6.328234,2024-03-19,5,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324016,-6.404418,2024-03-19,2,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.303664,-6.327783,2024-03-19,5,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.324013,-6.403967,2024-03-19,2,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.303661,-6.327331,2024-03-19,5,"Drone (combined survey, Java-clean)"
12_Jatibarang2,clu1,32749,108.32401,-6.403515,2024-03-19,2,"Drone (combined survey, Java-clean)"
13_Jatibarang1,clu1,32749,108.324004,-6.402612,2024-03-19,2,"Drone (combined survey, Java-clean)"
13_Jatibarang1,clu1,32749,108.324002,-6.402161,2024-03-19,2,"Drone (combined survey, Java-clean)"
14_Jatimulya,clu4,32748,107.832189,-6.378005,2024-03-20,2,"Drone (combined survey, Java-clean)"
13_Jatibarang1,clu1,32749,108.323999,-6.401709,2024-03-19,2,"Drone (combined survey, Java-clean)"
13_Jatibarang1,clu1,32749,108.323996,-6.401257,2024-03-19,2,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.303659,-6.326879,2024-03-19,5,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.074837,-6.482757,2024-03-19,3,"Drone (combined survey, Java-clean)"
