bujur,lintang,tanggal,fase,sumber
109.413823,-7.426147,6/11/2024,2,Drone (rice field)
109.352628,-7.434692,6/11/2024,1,Drone (rice field)
109.449018,-7.595938,6/12/2024,2,Drone (rice field)
109.375403,-7.50495,6/11/2024,1,Drone (rice field)
109.448853,-7.595404,6/12/2024,2,Drone (rice field)
109.41379,-7.426319,6/11/2024,2,Drone (rice field)
109.41375,-7.426312,6/11/2024,2,Drone (rice field)
109.449894,-7.595872,6/12/2024,6,Drone (rice field)
109.375035,-7.504238,6/11/2024,1,Drone (rice field)
109.374686,-7.503331,6/11/2024,1,Drone (rice field)
109.413924,-7.426162,6/11/2024,2,Drone (rice field)
