no,survei,bujur,lintang,tanggal,fase
138223,4,109.406964,-6.896656,2024-03-13,1
138229,4,109.406803,-6.896639,2024-03-13,1
138230,4,109.405998,-6.896611,2024-03-13,1
138231,4,109.406615,-6.896618,2024-03-13,1
138232,4,109.406379,-6.896592,2024-03-13,1
138233,4,109.429784,-6.896583,2024-03-13,1
138234,4,109.430257,-6.896581,2024-03-13,1
138235,4,109.429545,-6.896582,2024-03-13,1
138236,4,109.430022,-6.896581,2024-03-13,1
138237,4,109.407352,-6.896573,2024-03-13,1
138238,4,109.406175,-6.896537,2024-03-13,1
138239,4,109.407243,-6.896562,2024-03-13,1
138240,4,109.406036,-6.896522,2024-03-13,1
138241,4,109.40593,-6.89651,2024-03-13,1
138242,4,109.406816,-6.896485,2024-03-13,1
138243,4,109.406629,-6.896464,2024-03-13,1
138244,4,109.40639,-6.896439,2024-03-13,1
138245,4,109.430024,-6.896416,2024-03-13,1
138246,4,109.429783,-6.896416,2024-03-13,1
138247,4,109.430258,-6.896414,2024-03-13,1
138248,4,109.429543,-6.896413,2024-03-13,1
138249,4,109.407363,-6.896403,2024-03-13,1
138250,4,109.407253,-6.896393,2024-03-13,1
138251,4,109.406987,-6.896323,2024-03-13,1
138252,4,109.406829,-6.896307,2024-03-13,1
138253,4,109.406678,-6.896293,2024-03-13,1
138254,4,109.406508,-6.896276,2024-03-13,1
138255,4,109.430259,-6.896253,2024-03-13,1
138256,4,109.430025,-6.896253,2024-03-13,1
138257,4,109.429784,-6.896251,2024-03-13,1
138258,4,109.42954,-6.896248,2024-03-13,1
138259,4,109.406304,-6.896256,2024-03-13,1
138260,4,109.406042,-6.896318,2024-03-13,1
138261,4,109.407374,-6.896227,2024-03-13,1
138262,4,109.407261,-6.89622,2024-03-13,1
138263,4,109.406999,-6.89616,2024-03-13,1
138264,4,109.406841,-6.896144,2024-03-13,1
138265,4,109.406692,-6.89613,2024-03-13,1
138266,4,109.406522,-6.896112,2024-03-13,1
138267,4,109.43026,-6.896093,2024-03-13,1
138268,4,109.430027,-6.896091,2024-03-13,1
138269,4,109.429782,-6.896087,2024-03-13,1
138270,4,109.406315,-6.896092,2024-03-13,1
138271,4,109.429535,-6.896083,2024-03-13,1
138272,4,109.407385,-6.896061,2024-03-13,1
138273,4,109.407271,-6.89605,2024-03-13,1
138274,4,109.407011,-6.895995,2024-03-13,1
138275,4,109.406122,-6.89604,2024-03-13,1
138276,4,109.406852,-6.89598,2024-03-13,1
138277,4,109.405988,-6.896027,2024-03-13,1
138278,4,109.406703,-6.895965,2024-03-13,1
138279,4,109.406534,-6.895949,2024-03-13,1
138285,4,109.406326,-6.895928,2024-03-13,1
138286,4,109.407023,-6.895826,2024-03-13,1
138287,4,109.406863,-6.895811,2024-03-13,1
138289,4,109.406713,-6.895798,2024-03-13,1
138293,4,109.406544,-6.895783,2024-03-13,1
138297,4,109.406336,-6.895765,2024-03-13,1
138304,4,109.406139,-6.895752,2024-03-13,1
138307,4,109.406005,-6.895742,2024-03-13,1
138308,4,109.407034,-6.895654,2024-03-13,1
138309,4,109.406875,-6.895642,2024-03-13,1
138311,4,109.406724,-6.895629,2024-03-13,1
138315,4,109.406549,-6.895616,2024-03-13,1
138320,4,109.40634,-6.895599,2024-03-13,1
138325,4,109.406965,-6.895486,2024-03-13,1
138326,4,109.406736,-6.895468,2024-03-13,1
138329,4,109.406561,-6.895454,2024-03-13,1
138335,4,109.406352,-6.895437,2024-03-13,1
138338,4,109.406155,-6.895475,2024-03-13,1
138341,4,109.406021,-6.895462,2024-03-13,1
138368,4,109.430272,-6.894833,2024-03-13,1
138369,4,109.430053,-6.89483,2024-03-13,1
138375,4,109.429829,-6.894826,2024-03-13,1
138376,4,109.429648,-6.894822,2024-03-13,1
138377,4,109.429474,-6.89482,2024-03-13,1
138378,4,109.430055,-6.894688,2024-03-13,1
138379,4,109.429831,-6.894684,2024-03-13,1
138380,4,109.42964,-6.894681,2024-03-13,1
138381,4,109.430271,-6.894686,2024-03-13,1
138382,4,109.429476,-6.894675,2024-03-13,1
138384,4,109.430272,-6.894547,2024-03-13,1
138385,4,109.430056,-6.894544,2024-03-13,1
138386,4,109.429827,-6.894541,2024-03-13,1
138387,4,109.429637,-6.894538,2024-03-13,1
138388,4,109.429466,-6.894536,2024-03-13,1
138394,4,109.430267,-6.894417,2024-03-13,1
138396,4,109.430054,-6.894405,2024-03-13,1
138397,4,109.429824,-6.894401,2024-03-13,1
138398,4,109.429633,-6.894399,2024-03-13,1
138399,4,109.429463,-6.894397,2024-03-13,1
138403,4,109.429472,-6.894289,2024-03-13,1
138404,4,109.43019,-6.894289,2024-03-13,1
138405,4,109.429631,-6.894282,2024-03-13,1
138406,4,109.43005,-6.894288,2024-03-13,1
138407,4,109.429822,-6.894274,2024-03-13,1
98743,3,108.892183,-6.948961,2024-04-18,2
98747,3,109.053417,-6.9815,2024-04-18,2
98752,3,109.411611,-7.426361,2024-04-18,2
98762,3,109.488056,-7.716167,2024-04-18,2
99228,3,109.487652,-7.715784,2024-04-18,2
99229,3,109.488105,-7.715786,2024-04-18,2
99231,3,109.489012,-7.715789,2024-04-18,2
99232,3,109.487653,-7.715332,2024-04-18,2
99233,3,109.488107,-7.715334,2024-04-18,2
99236,3,109.487655,-7.71488,2024-04-18,2
99237,3,109.488108,-7.714882,2024-04-18,2
99323,3,109.411658,-7.426606,2024-04-18,2
99324,3,109.412111,-7.426607,2024-04-18,2
99332,3,109.411659,-7.426154,2024-04-18,2
99333,3,109.412112,-7.426155,2024-04-18,2
99343,3,109.052593,-6.982177,2024-04-18,2
99344,3,109.053045,-6.982179,2024-04-18,2
99345,3,109.052595,-6.981725,2024-04-18,2
99346,3,109.053047,-6.981727,2024-04-18,2
99348,3,109.052597,-6.981273,2024-04-18,2
101939,3,109.48898,-7.716486,2024-04-18,2
101941,3,109.488243,-7.716461,2024-04-18,2
101943,3,109.487982,-7.716373,2024-04-18,2
101954,3,109.488794,-7.716119,2024-04-18,2
101964,3,109.488121,-7.715929,2024-04-18,2
101966,3,109.488644,-7.715902,2024-04-18,2
101968,3,109.487735,-7.715842,2024-04-18,2
101969,3,109.488996,-7.715832,2024-04-18,2
101971,3,109.488145,-7.715814,2024-04-18,2
